ISO3,health_need_24,health_need_25,food_need_24,food_need_25,nutrition_need_24,nutrition_need_25,wash_need_24,wash_need_25,health_req,health_fund,food_req,food_fund,nutrition_req,nutrition_fund,total_req,total_fund,total_pop,covid_funding,covid_specific,pooled_alloc,health_coverage,food_coverage,nutrition_coverage,health_gap,food_gap,health_per_person,food_per_person,health_change_pct,food_change_pct,nutrition_change_pct,wash_change_pct,food_health_lag,compound_lag,health_food_ratio,pooled_dependency,health_need_share,health_fund_share,absorption,gdp_per_capita,physicians_per_1000,beds_per_1000,under5_mortality,life_expectancy,measles_vax_pct,health_need_24_n,health_gap_n,inv_cov_n,inv_pc_n,inv_abs_n,crisis_score,rank
AFG,201376304.0,147946862.0,175236970.0,170406173.0,82167831.0,79994190.0,242558670.0,234743188.0,190768456.0,26561586.0,651101609.0,38342756.0,298043835.0,5669605.0,0.0,23402482.0,161647476.0,4718210235.0,236628662.0,90900000.0,0.13923468563377164,0.058889051217196425,0.0190227219428981,164206870.0,612758853.0,0.13190025575203723,0.21880517564301644,-26.53213955103675,-2.756722511237212,-2.6453673822788386,-3.2220996264532618,False,False,1.149165628981341,3.8842032274951337,0.2871308760436409,1.1349900777622615,0.2690063967575352,413.757894705303,0.317,0.35,55.5,66.035,55,1.0,1.0,0.5198351319119822,0.37561200068773604,0.6452957030578232,0.6351857089143853,3
BFA,25575124.0,14231351.0,27523189.0,20445339.0,10971042.0,8847346.0,25948763.0,19853562.0,53970921.0,3282489.0,207208331.0,7733541.0,40468759.0,5239525.0,0.0,755405.0,94233964.0,924818723.0,56180471.0,9000000.0,0.06081958467968334,0.037322538928224853,0.12947085923736876,50688432.0,199474790.0,0.12834694369419283,0.2809827378651507,-44.35471358809443,-25.71595173800536,-19.357286208547922,-23.48937018693338,False,False,0.9292209224294131,11.914123001405866,0.2841108497735978,4.3453308551957495,0.3340660693725861,981.992649769081,0.148,0.2,77.3,61.092,88,0.12574904602853632,0.3005186283319228,0.7902575229587416,0.38742709896784,0.5595098417832682,0.46573587743459655,5
CAF,5289116.0,7648830.0,6939875.0,9138029.0,3375240.0,3873681.0,6109981.0,8213296.0,13522336.0,1725357.0,86183710.0,2454153.0,16594103.0,1107010.0,0.0,479604.0,,1230115739.0,90936428.0,18100000.0,0.12759311704723209,0.028475833774155232,0.06671104789454423,11796979.0,83729557.0,0.32620895438859726,0.3536307210144275,44.61452537626325,31.674259262594788,14.767572083762934,34.42424780044324,False,False,0.7621340784763301,37.73938970611232,0.2435785374113507,3.597454154981704,0.2158467359401314,516.160999996036,0.074,,92.2,57.408,41,0.02486768763109698,0.06087608770249169,0.5599822563102546,0.12140594904413644,0.7153905422259688,0.35541160880286415,12
COD,58850789.0,90549744.0,76193688.0,123277746.0,25256734.0,45305211.0,20601213.0,43516525.0,105260067.0,11980303.0,621892660.0,19146692.0,136113346.0,26320067.0,0.0,125000.0,326399090.0,2748427041.0,158254300.0,43351831.0,0.1138162205425919,0.03078777614130387,0.19336874578044683,93279764.0,602745968.0,0.20357081363853932,0.2512897393810364,53.863262563905465,61.79522114745253,79.3787391513091,111.2328288630383,False,False,0.7723840356384372,346.811873505012,0.325317857542915,95.84165726674186,0.29441770257923333,649.383338556725,0.208,,73.2,61.895,55,0.2912273543668811,0.5629591961675239,0.60749327457917,0.22536189269225604,0.6117890672509718,0.43396789722231977,8
COL,29217154.0,18041222.0,36619746.0,24541695.0,,,22319436.0,12781338.0,57798076.0,1904902.0,58265744.0,1445261.0,0.0,0.0,0.0,1197605.0,212866368.0,1269752973.0,60811883.0,1500000.0,0.032957879082341775,0.024804643359569903,,55893174.0,56820483.0,0.06519806823073869,0.039466712849400974,-38.251268415808056,-32.98234509873444,,-42.7344938286075,False,False,0.797852426451772,1.2524987349762777,,1.590591563502521,0.7583962164444489,7919.20886825345,2.535,1.7,12.0,77.725,93,0.14386068897594254,0.3325893662444587,0.8863414271379297,0.8122231976954777,0.0,0.4606063284523375,7
ETH,117801547.13643986,,114137452.40094708,,35705061.357233904,,110397169.8159417,,187335866.0,54322280.0,1547511649.0,225638571.0,276399218.0,216774099.0,0.0,1197605.0,432624780.0,3194145657.0,129737276.0,44500000.0,0.28997266332331684,0.14580734894358136,0.7842789880830994,133013586.0,1321873078.0,0.4611338417914237,1.9769021145431465,,,,,False,False,1.0321024661608789,37.157462470962905,0.31161031540136835,45.359057987351434,0.3469377495526153,1133.88279681719,0.143,,46.5,67.315,72,0.5843866866200751,0.8077922717792163,0.0,0.07091606788183946,0.542537604974948,0.29946008986921563,16
GTM,4110816.0,2693654.0,21392532.0,6367921.0,8135328.0,4739087.0,5909641.74,2142344.0,2500000.0,582567.0,19879307.0,10099320.0,7910588.0,400000.0,0.0,889221.0,71372528.0,56937681.0,421965.0,,0.2330268,0.5080317940660608,0.05056514130175911,1917433.0,9779987.0,0.14171565937273767,0.4720955892458172,-34.47398278103423,-70.23297195488594,-41.74682323810423,-63.74832698403136,False,False,0.1921612555184559,,0.10394414313714877,0.6551423604004399,0.5279312243002008,6150.02571438505,1.281,0.45,21.4,72.602,90,0.019008057456461204,0.0,0.19638355792119178,0.3460536742288556,0.30388468078694486,0.21633249259836335,18
HND,6731453.0,3427488.0,1435718.0,4983514.0,437398.0,1857852.0,1593377.0,4743707.0,3500000.0,709115.0,42845202.0,3364878.0,11400000.0,0.0,0.0,1017746.0,39570696.0,,,,0.2026042857142857,0.07853570161718458,0.0,2790885.0,39480324.0,0.1053435268730243,2.343690056125228,-49.08249377957478,247.10952986589288,324.7509133557995,197.71403754415934,False,False,4.688558833587909,,0.6600792943990879,0.6967497816254924,0.4647545520187315,3426.43483328923,0.489,0.53,15.5,72.884,79,0.03204036131962591,0.005382063159169133,0.3012986693563462,0.4831981207852544,0.38718767058515,0.30093120551159414,15
HTI,23445484.0,29502365.0,31039684.0,40408200.0,5347785.0,5852460.0,23849263.0,26975689.0,69200000.0,1255533.0,423500000.0,4079547.0,40667320.0,4032060.0,0.0,1983914.0,47598220.0,296449976.0,28061460.0,4500000.0,0.018143540462427745,0.009632932703659976,0.0991474235331957,67944467.0,419420453.0,0.05355116575968319,0.13143004290894197,25.8338919341567,30.182382011363263,9.437084699553179,13.109109493236751,False,False,0.7553389797609092,2.2682423390115,0.2801728386351528,0.6328562463613613,0.3532572749231632,2142.62330526788,0.292,4.9,55.1,64.936,77,0.11515844702564118,0.4068473908132419,0.937430169263239,1.0,0.5342048559006245,0.6466983680473762,2
MLI,17595494.0,18714846.0,6938610.0,8725967.0,16703927.0,14191493.0,16057175.0,16280139.0,30489234.0,1671526.0,149427065.0,2969250.0,47001741.0,1840941.0,0.0,500000.0,35814228.0,769271275.0,66540245.0,8000000.0,0.05482348293827257,0.01987089822047967,0.03916750658236256,28817708.0,146457815.0,0.09499738967260596,0.4279315309550472,6.361583255349353,25.759582971229104,-15.040978088565641,1.3885630567020661,False,True,2.5358813168802805,15.999968000064,0.30710237781499555,3.3430453139093723,0.21464237177524026,1094.61949265799,0.188,0.25,91.3,60.439,72,0.08606672341932908,0.16575493450014248,0.8109356850747517,0.5413942185628047,0.7169785830663326,0.5388438025308045,4
