cluster,year_fund,total_required,total_funded,coverage,year_need,total_in_need,total_targeted,total_reached,need_share,fund_share,fairness_gap
Agriculture,2025,44806667.0,41500184.0,0.9262055577577328,,,,,,0.0029783710286257147,
Camp Coordination,,,,,2025.0,115523845.0,58101897.0,0.0,0.016214387225273116,,
Camp Coordination / Management,2025,415491540.0,94794914.0,0.22815124948151772,,,,,,0.0068032090054990155,
Coordination and support services,2025,725650646.0,276508368.0,0.381048882853196,,,,,,0.01984435809787681,
Cross-sector,,,,,2025.0,1505332693.0755339,846349528.0,82007290.0,0.2112814647780284,,
Early Recovery,2025,301428215.0,439284388.0,1.457343294820626,,,,,,0.03152641189607202,
Education,2025,1706400453.0,613229731.0,0.35937035173771137,2025.0,393720391.0,128575574.0,0.0,0.05526075485247168,0.04401006185183035,-0.011250693000641326
Emergency Shelter and NFI,2025,2900703210.0,630630491.0,0.21740607202623807,,,,,,0.045258873651317054,
Emergency Telecommunications,2025,21731080.0,2458940.0,0.11315314287186831,,,,,,0.00017647236593285742,
Food Security,2025,12187704402.0,3974662826.0,0.32612071107892626,2025.0,1074553938.0,596118116.0,0.0,0.15081937105862533,0.28525224393014764,0.1344328728715223
Health,2025,3402721150.0,1493437707.0,0.4388951198660519,2025.0,950032180.0,442272975.1991646,0.0,0.13334207879758822,0.10718052718961485,-0.02616155160797337
Logistics,2025,544636486.0,201511912.0,0.36999341245015305,,,,,,0.01446203806286195,
Multi-sector,2025,2607254161.0,616621378.0,0.2365022126433189,,,,,,0.04425347241512148,
Multiple clusters/sectors (shared),2025,0.0,1142006134.0,inf,,,,,,0.08195910610946823,
Multipurpose Cash,2025,1634808112.0,714493285.0,0.43705024446318624,,,,,,0.05127751000312712,
Not specified,2025,0.0,832618773.0,inf,,,,,,0.059755099673608446,
Nutrition,2025,2740527821.0,703183664.0,0.25658694599327697,2025.0,350834713.0,215944288.0,0.0,0.049241521424858735,0.05046584498662654,0.0012243235617678053
Other,2025,14500000.0,27940759.0,1.926948896551724,,,,,,0.0020052428471982967,
Protection,2025,999577681.0,717195545.0,0.7174985582736315,2025.0,1287512190.0,394756282.0,0.0,0.18070919649462336,0.05147144487570055,-0.1292377516189228
Protection - Child Protection,2025,1025092336.0,285367611.0,0.27838234759761193,,,,,,0.020480165223135706,
Protection - Gender-Based Violence,2025,886689252.0,241875480.0,0.27278494630946537,,,,,,0.01735883682267381,
"Protection - Housing, Land and Property",2025,58957997.0,6743126.0,0.11437169414015201,,,,,,0.0004839383632798544,
Protection - Human Trafficking & Smuggling,2025,35200000.0,7273783.0,0.2066415625,,,,,,0.0005220223735805662,
Protection - Mine Action,2025,343249018.0,180836441.0,0.5268374606100111,,,,,,0.012978207922986158,
Shelter,,,,,2025.0,500333860.0,151903459.88,0.0,0.07022452332637982,,
WASH,,,,,2025.0,946930219.0,424843964.0,0.0,0.13290670204215133,,
Water Sanitation Hygiene,2025,3292139419.0,689677529.0,0.2094921998198643,,,,,,0.049496541303714975,
