ISO3,In Need_2024_AGR,In Need_2024_ALL,In Need_2024_CCM,In Need_2024_CSS,In Need_2024_EDU,In Need_2024_ERY,In Need_2024_FSC,In Need_2024_HEA,In Need_2024_LOG,In Need_2024_MS,In Need_2024_NUT,In Need_2024_PRO,In Need_2024_PRO-CPN,In Need_2024_PRO-GBV,In Need_2024_PRO-HLP,In Need_2024_PRO-MIN,In Need_2024_SHL,In Need_2024_WSH,Targeted_2024_AGR,Targeted_2024_ALL,Targeted_2024_CCM,Targeted_2024_CSS,Targeted_2024_EDU,Targeted_2024_ERY,Targeted_2024_FSC,Targeted_2024_HEA,Targeted_2024_LOG,Targeted_2024_MS,Targeted_2024_NUT,Targeted_2024_PRO,Targeted_2024_PRO-CPN,Targeted_2024_PRO-GBV,Targeted_2024_PRO-HLP,Targeted_2024_PRO-MIN,Targeted_2024_SHL,Targeted_2024_WSH,Reached_2024_AGR,Reached_2024_ALL,Reached_2024_CCM,Reached_2024_CSS,Reached_2024_EDU,Reached_2024_ERY,Reached_2024_FSC,Reached_2024_HEA,Reached_2024_LOG,Reached_2024_MS,Reached_2024_NUT,Reached_2024_PRO,Reached_2024_PRO-CPN,Reached_2024_PRO-GBV,Reached_2024_PRO-HLP,Reached_2024_PRO-MIN,Reached_2024_SHL,Reached_2024_WSH,In Need_2025_ALL,In Need_2025_CCM,In Need_2025_CSS,In Need_2025_EDU,In Need_2025_ERY,In Need_2025_FSC,In Need_2025_HEA,In Need_2025_LOG,In Need_2025_MPC,In Need_2025_MS,In Need_2025_NUT,In Need_2025_PRO,In Need_2025_PRO-CPN,In Need_2025_PRO-GBV,In Need_2025_PRO-HLP,In Need_2025_PRO-MIN,In Need_2025_SHL,In Need_2025_TEL,In Need_2025_WSH,Targeted_2025_ALL,Targeted_2025_CCM,Targeted_2025_CSS,Targeted_2025_EDU,Targeted_2025_ERY,Targeted_2025_FSC,Targeted_2025_HEA,Targeted_2025_LOG,Targeted_2025_MPC,Targeted_2025_MS,Targeted_2025_NUT,Targeted_2025_PRO,Targeted_2025_PRO-CPN,Targeted_2025_PRO-GBV,Targeted_2025_PRO-HLP,Targeted_2025_PRO-MIN,Targeted_2025_SHL,Targeted_2025_TEL,Targeted_2025_WSH,Reached_2025_ALL,Reached_2025_CCM,Reached_2025_CSS,Reached_2025_EDU,Reached_2025_ERY,Reached_2025_FSC,Reached_2025_HEA,Reached_2025_LOG,Reached_2025_MPC,Reached_2025_MS,Reached_2025_NUT,Reached_2025_PRO,Reached_2025_PRO-CPN,Reached_2025_PRO-GBV,Reached_2025_PRO-HLP,Reached_2025_PRO-MIN,Reached_2025_SHL,Reached_2025_TEL,Reached_2025_WSH,total_req_yr,total_funded_yr,pooled_budget,pooled_dependency,health_food_ratio,health_budget_per_person,combined_social_need,neglect_index,health_to_food_need_ratio
AFG,,276071416.0,,,85320684.0,,175236970.0,201376304.0,,415000.0,82167831.0,421477660.0,113274864.0,149387038.0,74363960.0,49481210.0,85266587.0,242558670.0,,203607910.0,,,17794276.0,,175236970.0,145545909.0,,415000.0,58602704.0,125146170.0,57768401.0,24288179.0,7545760.0,21279633.0,27383609.0,114312315.0,,18400000.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269679137.0,,0.0,91514443.0,,170406173.0,147946862.0,0.0,0.0,,79994190.0,415923138.0,106203117.0,144970022.0,41968239.0,56789648.0,69463348.0,,234743188.0,191497180.0,,0.0,8560238.0,,164277979.0,95288881.0,0.0,0.0,,51342858.0,103328765.0,38749708.0,23516262.0,4518919.0,21076851.0,15168320.0,,70330181.0,18100000.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3059587797.0,1695732677.0,90900000.0,3.8842,1.1492,0.1319,701339775.0,0.8608,1.1492
BFA,,51038030.0,8288685.0,,16036878.0,,27523189.0,25575124.0,,262233.0,10971042.0,27327511.0,14026217.0,9720183.0,13932946.0,12245126.0,20645111.0,25948763.0,,33922357.0,3613875.0,,6841002.0,,20780694.0,11759154.0,,262233.0,4241306.0,10051275.0,5362358.0,3889170.0,3932284.0,1428843.0,4425085.0,12709336.0,,1600000.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43180493.0,9456262.0,0.0,14348805.0,,20445339.0,14231351.0,,,287264.0,8847346.0,26351194.0,12936704.0,9651553.0,11035786.0,13389969.0,17469321.0,,19853562.0,26809300.0,3598275.0,0.0,5969125.0,,15677091.0,9395127.0,,,287264.0,4448235.0,9282099.0,5304476.0,3420361.0,3401237.0,1459643.0,4286894.0,,11933606.0,1800000.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,934604385.0,493266373.0,9000000.0,11.9141,0.9292,0.1283,90018118.0,0.9392,0.9292
CAF,,7759080.0,2467715.0,,3184004.0,,6939875.0,5289116.0,,,3375240.0,5334937.0,2365288.0,3459387.0,70000.0,870000.0,1456591.0,6109981.0,,5362172.0,1200984.0,,1009332.0,,4111652.0,2056018.0,,,1802676.0,3050925.0,867821.0,2594578.0,70000.0,870000.0,711961.0,2765415.0,,1500000.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12201700.0,3534211.0,,4219145.0,,9138029.0,7648830.0,,34442.0,72000.0,3873681.0,6578315.0,2947548.0,4550648.0,,2577600.0,2005875.0,,8213296.0,8863164.0,2031904.0,,1714801.0,,5926994.0,3331479.0,,34442.0,62000.0,2626042.0,4280885.0,1379635.0,3112297.0,,820006.0,1461420.0,,4225449.0,720000.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,413844967.0,286791668.0,18100000.0,37.7394,0.7621,0.3262,21714212.0,0.8724,0.7621
COD,,185404631.0,2284506.0,0.0,4715979.309,,76193688.0,58850789.0,0.0,5685627.0,25256734.0,46178766.0,11962851.0,23242509.0,5982237.0,3721347.0,22527984.3,20601213.0,,63525961.0,1462083.0,0.0,1938534.5833,,21666980.0,26106554.7525,40000.0,3039767.0,9522597.0,16664985.0,5586813.0,3544170.0,2153811.0,1853592.0,8320584.655,12975873.0,,7100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148692621.0755,9002263.0,,13081826.0,,123277746.0,90549744.0,,0.0,4734456.0,45305211.0,90093444.0,28046536.0,43496332.0,18181132.0,16939775.0,28248159.0,,43516525.0,68442038.0,6751719.0,,4603154.0,,51245593.0,42005691.1992,,15059323.0,4006304.0,20489532.0,34016245.0,13203183.0,7699973.0,4953711.0,8662518.0,12584874.0,,34751642.0,9100000.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2580627746.0,1430917142.0,43351831.0,346.8119,0.7724,0.2036,180902424.0,0.8862,0.7724
COL,,41535639.0,,,17602342.0,27114743.0,36619746.0,29217154.0,,,,25777201.0,2013023.0,3047126.0,,607910.0,19327299.0,22319436.0,,8631312.0,,,904722.0,469965.0,4327992.0,3918486.0,,,,6433375.0,238158.0,337743.0,,124040.0,995043.0,1477989.0,,1200000.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,44425812.0,,,9010233.0,12865497.0,24541695.0,18041222.0,,0.0,,,16431668.0,6480495.0,9844227.0,,2065431.0,11926891.0,,12781338.0,9848434.0,,,1081150.0,388928.0,2631663.0,1902514.0,,31208.0,,,3583076.0,455482.0,725110.0,,238442.0,477788.0,,1345432.0,890000.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,907860094.0,456420792.0,1500000.0,1.2525,0.7979,0.0652,88156336.0,0.967,0.7979
ETH,98045476.4284,21360484.0,13227168.7999,0.0,75173872.6708,,114137452.4009,117801547.1364,,0.0,35705061.3572,148792635.0514,54538516.8257,51645415.8718,31886928.5941,54291028.8308,26263422.5241,110397169.8159,59435309.6266,15467955.0,7924635.474,0.0,21232619.9125,,74977114.7873,48558854.5671,,1400000.0,24936075.1144,55161902.9814,17331074.47,17469163.0088,6375082.9184,5642502.2376,23767845.383,63945226.9773,0.0,12800000.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3691808610.0,1250279058.0,44500000.0,37.1575,1.0321,0.4611,378041230.7106,0.71,1.0321
GTM,,5300000.0,1471822.0,,1663608.0,,21392532.0,4110816.0,,,8135328.0,8810745.0,3463410.0,3565216.0,,,,5909641.74,,2500000.0,732417.0,,660000.0,,3205000.0,1643672.0,,,3254012.0,1430434.0,1078528.0,517500.0,,,,3088655.0,,497000.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,10819765.0,568344.0,0.0,1387497.0,,6367921.0,2693654.0,,,,4739087.0,8711024.0,2029875.0,5833074.0,,,,,2142344.0,5904672.0,456980.0,0.0,416467.0,,883383.0,697071.0,,,,1464822.0,3248357.0,601028.0,382500.0,,,,,990487.0,275000.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,125401425.0,85709007.0,,,0.1922,0.1417,39548317.74,0.767,0.1922
HND,,2800000.0,1119140.0,,419772.0,,1435718.0,6731453.0,,,437398.0,1304626.0,543960.0,997174.0,,,,1593377.0,,1300000.0,447650.0,,209886.0,,900000.0,1817314.0,,,219000.0,430000.0,245000.0,259491.0,,,,560000.0,,470000.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,8310899.0,2087917.0,,2052116.0,,4983514.0,3427488.0,,,,1857852.0,4758058.0,2133421.0,3521529.0,,,,,4743707.0,4065765.0,879285.0,,931334.0,,1677881.0,1415537.0,,,,880523.0,1560689.0,997172.0,722712.0,,,,,1836408.0,132000.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,203159869.0,123954398.0,,,4.6886,0.1053,10197946.0,0.7974,4.6886
HTI,,27897293.0,1508005.0,,5955353.0,,31039684.0,23445484.0,,0.0,5347785.0,7812121.0,3761953.0,8198281.0,,,22238663.0,23849263.0,,18257413.0,854112.0,,3870986.0,,17501958.5,9382142.0,,0.0,4116697.0,3985955.0,1705205.0,4203458.0,,,3042598.0,11825708.0,,1900000.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,42985706.0,7698093.0,,10615196.0,,40408200.0,29502365.0,,0.0,,5852460.0,5542155.0,6686896.0,6143277.0,,,26594083.0,,26975689.0,28673844.0,2427530.0,,7294883.0,,25083960.0,13957761.0,,252225.0,,4529570.0,3161179.0,4968228.0,3330756.0,,,3834706.0,,12895195.0,2200000.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,673767352.0,365139264.0,4500000.0,2.2682,0.7553,0.0536,83682216.0,0.9819,0.7553
MLI,,35535990.0,,,11537740.0,,6938610.0,17595494.0,,0.0,16703927.0,8982101.0,2601408.0,3644430.0,2167594.0,2830523.9852,9909820.0,16057175.0,,20407060.0,,,8890418.0,,2012686.0,10557296.0,,349504.0,12472006.0,5590988.0,1573861.0,2004436.0,837826.0,1960261.0,2635641.0,11920602.0,,1500000.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32157658.0,,,9050813.0,,8725967.0,18714846.0,,0.0,837585.0,14191493.0,14671704.0,5061396.0,6767234.0,3201861.0,4034535.0,11675297.0,,16280139.0,23545059.0,,,8435467.0,,6980775.0,12276841.0,,5358601.0,670317.0,11353189.0,7991460.0,2427990.0,2803005.0,1248725.0,3025900.0,3862620.0,,9407222.0,1800000.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,701569941.0,348807205.0,8000000.0,16.0,2.5359,0.095,57295206.0,0.9452,2.5359
