cluster,year_fund,total_required,total_funded,coverage,year_need,total_in_need,total_targeted,total_reached,need_share,fund_share,fairness_gap
Agriculture,2025.0,44806667.0,41500184.0,0.9262055577577328,,,,,,0.0029783710286257,
Camp Coordination,,,,,2025.0,115523845.0,58101897.0,0.0,0.0162143872252731,,
Camp Coordination / Management,2025.0,415491540.0,94794914.0,0.2281512494815177,,,,,,0.006803209005499,
Coordination and support services,2025.0,725650646.0,276508368.0,0.381048882853196,,,,,,0.0198443580978768,
Cross-sector,,,,,2025.0,1505332693.075534,846349528.0,82007290.0,0.2112814647780284,,
Early Recovery,2025.0,301428215.0,439284388.0,1.457343294820626,,,,,,0.031526411896072,
Education,2025.0,1706400453.0,613229731.0,0.3593703517377113,2025.0,393720391.0,128575574.0,0.0,0.0552607548524716,0.0440100618518303,-0.0112506930006413
Emergency Shelter and NFI,2025.0,2900703210.0,630630491.0,0.217406072026238,,,,,,0.045258873651317,
Emergency Telecommunications,2025.0,21731080.0,2458940.0,0.1131531428718683,,,,,,0.0001764723659328,
Food Security,2025.0,12187704402.0,3974662826.0,0.3261207110789262,2025.0,1074553938.0,596118116.0,0.0,0.1508193710586253,0.2852522439301476,0.1344328728715223
Health,2025.0,3402721150.0,1493437707.0,0.4388951198660519,2025.0,950032180.0,442272975.1991646,0.0,0.1333420787975882,0.1071805271896148,-0.0261615516079733
Logistics,2025.0,544636486.0,201511912.0,0.369993412450153,,,,,,0.0144620380628619,
Multi-sector,2025.0,2607254161.0,616621378.0,0.2365022126433189,,,,,,0.0442534724151214,
Multiple clusters/sectors (shared),2025.0,0.0,1142006134.0,inf,,,,,,0.0819591061094682,
Multipurpose Cash,2025.0,1634808112.0,714493285.0,0.4370502444631862,,,,,,0.0512775100031271,
Not specified,2025.0,0.0,832618773.0,inf,,,,,,0.0597550996736084,
Nutrition,2025.0,2740527821.0,703183664.0,0.2565869459932769,2025.0,350834713.0,215944288.0,0.0,0.0492415214248587,0.0504658449866265,0.0012243235617678
Other,2025.0,14500000.0,27940759.0,1.926948896551724,,,,,,0.0020052428471982,
Protection,2025.0,999577681.0,717195545.0,0.7174985582736315,2025.0,1287512190.0,394756282.0,0.0,0.1807091964946233,0.0514714448757005,-0.1292377516189228
Protection - Child Protection,2025.0,1025092336.0,285367611.0,0.2783823475976119,,,,,,0.0204801652231357,
Protection - Gender-Based Violence,2025.0,886689252.0,241875480.0,0.2727849463094653,,,,,,0.0173588368226738,
"Protection - Housing, Land and Property",2025.0,58957997.0,6743126.0,0.114371694140152,,,,,,0.0004839383632798,
Protection - Human Trafficking & Smuggling,2025.0,35200000.0,7273783.0,0.2066415625,,,,,,0.0005220223735805,
Protection - Mine Action,2025.0,343249018.0,180836441.0,0.5268374606100111,,,,,,0.0129782079229861,
Shelter,,,,,2025.0,500333860.0,151903459.88,0.0,0.0702245233263798,,
WASH,,,,,2025.0,946930219.0,424843964.0,0.0,0.1329067020421513,,
Water Sanitation Hygiene,2025.0,3292139419.0,689677529.0,0.2094921998198643,,,,,,0.0494965413037149,
